연도,시도,권역내전입,권역내전출,권역내순이동,권역
2015,경기,45890,39037,6853,수도권
2015,경남,8373,7250,1123,부산·울산·경남권
2015,경북,5606,5657,-51,대구·경북권
2015,광주,4250,4405,-155,광주·전남권
2015,대구,5657,5606,51,대구·경북권
2015,대전,3978,5222,-1244,충청권
2015,부산,7474,9205,-1731,부산·울산·경남권
2015,서울,36804,43615,-6811,수도권
2015,세종,3166,1115,2051,충청권
2015,울산,3203,2595,608,부산·울산·경남권
2015,인천,13042,13084,-42,수도권
2015,전남,4405,4250,155,광주·전남권
2015,충남,3607,3977,-370,충청권
2015,충북,2332,2769,-437,충청권
2016,경기,47188,39724,7464,수도권
2016,경남,8252,7197,1055,부산·울산·경남권
2016,경북,5110,5331,-221,대구·경북권
2016,광주,4185,3891,294,광주·전남권
2016,대구,5331,5110,221,대구·경북권
2016,대전,4071,4919,-848,충청권
2016,부산,7567,8818,-1251,부산·울산·경남권
2016,서울,37559,44876,-7317,수도권
2016,세종,2673,1211,1462,충청권
2016,울산,2926,2730,196,부산·울산·경남권
2016,인천,13117,13264,-147,수도권
2016,전남,3891,4185,-294,광주·전남권
2016,충남,3525,3769,-244,충청권
2016,충북,2292,2662,-370,충청권
2017,경기,46704,42261,4443,수도권
2017,경남,8816,7494,1322,부산·울산·경남권
2017,경북,5324,5666,-342,대구·경북권
2017,광주,4155,3954,201,광주·전남권
2017,대구,5666,5324,342,대구·경북권
2017,대전,4406,5362,-956,충청권
2017,부산,8146,9315,-1169,부산·울산·경남권
2017,서울,40402,44118,-3716,수도권
2017,세종,3259,1493,1766,충청권
2017,울산,2644,2797,-153,부산·울산·경남권
2017,인천,13288,14015,-727,수도권
2017,전남,3954,4155,-201,광주·전남권
2017,충남,3576,3968,-392,충청권
2017,충북,2393,2811,-418,충청권
2018,경기,51121,46818,4303,수도권
2018,경남,8481,7217,1264,부산·울산·경남권
2018,경북,5826,6124,-298,대구·경북권
2018,광주,5067,4266,801,광주·전남권
2018,대구,6124,5826,298,대구·경북권
2018,대전,4586,5706,-1120,충청권
2018,부산,7784,9067,-1283,부산·울산·경남권
2018,서울,44749,47616,-2867,수도권
2018,세종,3520,1551,1969,충청권
2018,울산,2739,2720,19,부산·울산·경남권
2018,인천,14513,15949,-1436,수도권
2018,전남,4266,5067,-801,광주·전남권
2018,충남,3710,4171,-461,충청권
2018,충북,2652,3040,-388,충청권
2019,경기,52172,49622,2550,수도권
2019,경남,8693,7777,916,부산·울산·경남권
2019,경북,6383,6100,283,대구·경북권
2019,광주,5412,4339,1073,광주·전남권
2019,대구,6100,6383,-283,대구·경북권
2019,대전,4869,5925,-1056,충청권
2019,부산,8253,9419,-1166,부산·울산·경남권
2019,서울,48058,48679,-621,수도권
2019,세종,3506,1829,1677,충청권
2019,울산,2928,2678,250,부산·울산·경남권
2019,인천,15071,17000,-1929,수도권
2019,전남,4339,5412,-1073,광주·전남권
2019,충남,4044,4371,-327,충청권
2019,충북,2817,3111,-294,충청권
2020,경기,59492,53897,5595,수도권
2020,경남,8767,8931,-164,부산·울산·경남권
2020,경북,6575,7345,-770,대구·경북권
2020,광주,5519,4543,976,광주·전남권
2020,대구,7345,6575,770,대구·경북권
2020,대전,5312,5775,-463,충청권
2020,부산,9752,9544,208,부산·울산·경남권
2020,서울,52772,54910,-2138,수도권
2020,세종,3163,2245,918,충청권
2020,울산,3037,3081,-44,부산·울산·경남권
2020,인천,15672,19129,-3457,수도권
2020,전남,4543,5519,-976,광주·전남권
2020,충남,4407,4743,-336,충청권
2020,충북,3293,3412,-119,충청권
2021,경기,59673,54147,5526,수도권
2021,경남,8635,9071,-436,부산·울산·경남권
2021,경북,7032,6540,492,대구·경북권
2021,광주,5517,4534,983,광주·전남권
2021,대구,6540,7032,-492,대구·경북권
2021,대전,5321,5622,-301,충청권
2021,부산,9757,9618,139,부산·울산·경남권
2021,서울,51536,56411,-4875,수도권
2021,세종,3055,2046,1009,충청권
2021,울산,3282,2985,297,부산·울산·경남권
2021,인천,17492,18143,-651,수도권
2021,전남,4534,5517,-983,광주·전남권
2021,충남,4345,4658,-313,충청권
2021,충북,3121,3516,-395,충청권
2022,경기,49256,52153,-2897,수도권
2022,경남,7463,8000,-537,부산·울산·경남권
2022,경북,5864,5878,-14,대구·경북권
2022,광주,4459,4133,326,광주·전남권
2022,대구,5878,5864,14,대구·경북권
2022,대전,4876,5099,-223,충청권
2022,부산,8615,8443,172,부산·울산·경남권
2022,서울,49469,47214,2255,수도권
2022,세종,2651,1857,794,충청권
2022,울산,3047,2682,365,부산·울산·경남권
2022,인천,16599,15957,642,수도권
2022,전남,4133,4459,-326,광주·전남권
2022,충남,4010,4203,-193,충청권
2022,충북,2883,3261,-378,충청권
2023,경기,47546,50966,-3420,수도권
2023,경남,7375,7287,88,부산·울산·경남권
2023,경북,5501,5808,-307,대구·경북권
2023,광주,4049,4081,-32,광주·전남권
2023,대구,5808,5501,307,대구·경북권
2023,대전,4332,4828,-496,충청권
2023,부산,7837,8334,-497,부산·울산·경남권
2023,서울,48177,45686,2491,수도권
2023,세종,2316,1806,510,충청권
2023,울산,3055,2646,409,부산·울산·경남권
2023,인천,16444,15515,929,수도권
2023,전남,4081,4049,32,광주·전남권
2023,충남,3885,3796,89,충청권
2023,충북,2933,3036,-103,충청권
2024,경기,49793,48847,946,수도권
2024,경남,7684,7221,463,부산·울산·경남권
2024,경북,5600,5773,-173,대구·경북권
2024,광주,4004,4000,4,광주·전남권
2024,대구,5773,5600,173,대구·경북권
2024,대전,4443,5021,-578,충청권
2024,부산,7682,8882,-1200,부산·울산·경남권
2024,서울,46191,48052,-1861,수도권
2024,세종,2290,1859,431,충청권
2024,울산,3437,2700,737,부산·울산·경남권
2024,인천,16395,15480,915,수도권
2024,전남,4000,4004,-4,광주·전남권
2024,충남,4143,3746,397,충청권
2024,충북,2896,3146,-250,충청권
2025,경기,47934,49682,-1748,수도권
2025,경남,8059,7347,712,부산·울산·경남권
2025,경북,5243,5680,-437,대구·경북권
2025,광주,3794,4112,-318,광주·전남권
2025,대구,5680,5243,437,대구·경북권
2025,대전,4644,5171,-527,충청권
2025,부산,7700,9124,-1424,부산·울산·경남권
2025,서울,46731,46435,296,수도권
2025,세종,2206,1760,446,충청권
2025,울산,3574,2862,712,부산·울산·경남권
2025,인천,16966,15514,1452,수도권
2025,전남,4112,3794,318,광주·전남권
2025,충남,4106,4058,48,충청권
2025,충북,3290,3257,33,충청권
