연도,강원특별자치도,광주·전남권,대구·경북권,부산·울산·경남권,수도권,전북특별자치도,제주특별자치도,충청권,합계
2015,0,8655,11263,19050,95736,0,0,13083,147787
2016,0,8076,10441,18745,97864,0,0,12561,147687
2017,0,8109,10990,19606,100394,0,0,13634,152733
2018,0,9333,11950,19004,110383,0,0,14468,165138
2019,0,9751,12483,19874,115301,0,0,15236,172645
2020,0,10062,13920,21556,127936,0,0,16175,189649
2021,0,10051,13572,21674,128701,0,0,15842,189840
2022,0,8592,11742,19125,115324,0,0,14420,169203
2023,0,8130,11309,18267,112167,0,0,13466,163339
2024,0,8004,11373,18803,112379,0,0,13772,164331
2025,0,7906,10923,19333,111631,0,0,14246,164039
