권역,시도,연앙인구,현행지표(‰),권역순유지율(‰),정주개선도(‰p),RCI지수,현행배분(억),제안배분(억),증감(억),증감률(%)
강원특별자치도,강원,82709.66666666667,-19.111026925510522,-19.111026925510522,14.143398571331318,0.4454268169956115,99.7759184801693,161.0803159215451,61.3043974413758,61.4420777830877
광주·전남권,전남,89693.83333333333,-18.091173120411476,-19.377028892733243,14.661692363427989,0.4456866572834006,109.39158746680336,165.3203978930138,55.92881042621043,51.12715860639917
전북특별자치도,전북,94186.83333333333,-28.54609897703324,-28.54609897703324,4.342447499890369,0.21067712910898287,56.3024970639304,109.105099274679,52.8026022107486,93.7837661992012
부산·울산·경남권,부산,199632.16666666666,-27.136575351500635,-21.925324325655602,-10.515138414849332,0.18726758847964903,126.8545598484995,166.27044262807155,39.415882779572044,31.071711436030235
광주·전남권,광주,98018.16666666667,-27.426888552972326,-26.250235925653236,-3.6353125787339735,0.17810082762244128,64.56352959752107,103.23068285540157,38.6671532578805,59.8900857789614
대구·경북권,경북,125317.83333333333,-21.156871793985164,-18.71774035884757,-7.744035150932035,0.2622191783864721,114.33183441179641,140.63254946491182,26.30071505311541,23.003842445478845
충청권,대전,106595.16666666667,-3.546127013263578,1.460353893469216,-7.496144650755795,0.584973111319925,197.08962224091368,210.33334200093506,13.243719760021378,6.719643383268976
수도권,경기,915581.8333333334,6.542652022184072,8.079743827740867,1.5133934560012747,0.7681342088656486,734.5028803941942,739.8312086015409,5.328328207346658,0.7254332623565808
부산·울산·경남권,경남,163803.33333333334,-16.66022262469221,-19.230377892187786,-6.65970025217608,0.26345986861926685,161.32619283878668,163.9491617014288,2.622968862642125,1.6258791064779288
충청권,충북,96744.33333333333,3.43172554464861,4.5342879686321,-1.9410334866369965,0.6818993823401113,228.42646085763602,228.7376682839636,0.31120742632757015,0.13623965680645306
대구·경북권,대구,145570.33333333334,-25.17225350403356,-27.272040319570607,-15.176282599509236,0.06196739215507088,105.01702420495012,102.54931048278618,-2.4677137221639356,-2.349822555767693
수도권,서울,785506.0,15.902700509819997,15.509747856795492,4.051352780068235,0.9081574276754406,706.680795352536,697.1695924352489,-9.511202917287164,-1.3458980320163347
제주특별자치도,제주,37880.666666666664,-16.534379894757222,-16.534379894757222,-19.99654721373966,0.19085329103552462,86.72416578199075,70.47819838587827,-16.245967396112476,-18.7329186157316
충청권,충남,117392.66666666667,12.243808528641766,10.727529828666185,-2.9674188015539613,0.7714189909765081,287.7801710459864,263.5172692118274,-24.26290183415898,-8.43105407366022
수도권,인천,200738.66666666666,14.079665767764391,8.606546488303202,1.5375394281033827,0.7767135426122029,347.3962162381189,314.66637980309406,-32.72983643502482,-9.421471767726599
부산·울산·경남권,울산,66554.33333333333,3.4357893049788895,-5.86989076594061,-7.039762211606742,0.47245383509502975,210.4013248721296,158.19692558839785,-52.20439928373176,-24.811820607811637
충청권,세종,19816.833333333332,37.358811111765256,14.02847747285557,-9.145335504429866,0.7703917569972227,363.4352193040376,204.93145546727652,-158.5037638367611,-43.61265926298745
