시도,권역,총전출,권역내로,권역밖으로,권역내비중(%)
강원,강원특별자치도,11934,0,11934,0.0
광주,광주·전남권,12945,4112,8833,31.8
전남,광주·전남권,11967,3794,8173,31.7
대구,대구·경북권,18186,5243,12943,28.8
경북,대구·경북권,20088,5680,14408,28.3
부산,부산·울산·경남권,23445,9124,14321,38.9
경남,부산·울산·경남권,20470,7347,13123,35.9
울산,부산·울산·경남권,8475,2862,5613,33.8
인천,수도권,21387,15514,5873,72.5
경기,수도권,79503,49682,29821,62.5
서울,수도권,74589,46435,28154,62.3
전북,전북특별자치도,11244,0,11244,0.0
제주,제주특별자치도,4768,0,4768,0.0
세종,충청권,4156,1760,2396,42.3
대전,충청권,15614,5171,10443,33.1
충북,충청권,12800,3257,9543,25.4
충남,충청권,17172,4058,13114,23.6
