year,시도기준전출,권역기준전출,연앙인구,권역내이동,과대계상률(%),시도기준전출률(‰),권역기준전출률(‰)
2015,340807,193020,3130239.0,147787,43.36383935775967,108.87571204626867,61.66302317490773
2016,337785,190098,3161268.5,147687,43.72219015053955,106.85109474250605,60.133455921254395
2017,345995,193262,3252272.5,152733,44.143123455541264,106.38561190675136,59.423679903821096
2018,369026,203888,3347964.5,165138,44.74969243359547,110.2239883367939,60.89909256803649
2019,381705,209060,3430877.0,172645,45.2299550700148,111.25581010336424,60.93485718083161
2020,404255,214606,3505179.5,189649,46.91321072095583,115.33075552906777,61.225395161645785
2021,407593,217753,3529975.0,189840,46.575873481634865,115.46625684317878,61.68683914192027
2022,370700,201497,3493108.5,169203,45.64418667386027,106.12324237852903,57.68415152292006
2023,358967,195628,3428923.5,163339,45.50251137291171,104.68795818862684,57.052308107777854
2024,363207,198876,3345302.5,164331,45.24444738124541,108.57224421408826,59.44933231000784
2025,368743,204704,3263002.0,164039,44.485997022316354,113.00728592872453,62.7348680754716
